City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,suva,-18.1416,178.4415,22.71,94,75,3.09,FJ,1692377925
112,college,64.8569,-147.8028,11.99,83,100,4.63,US,1692377925
113,ambon,-3.6954,128.1814,25.27,82,100,4.78,ID,1692377925
114,yatou,37.15,122.3833,24.06,92,67,2.13,CN,1692377926
115,porto recanati,43.4365,13.6613,29.99,63,22,2.45,IT,1692377927
116,lospalos,-8.5186,127.0025,19.51,92,9,2.3,TL,1692377928
117,zhob,31.3411,69.4481,30.71,31,16,6.72,PK,1692377893
118,mogocha,53.7333,119.7667,8.47,94,69,1.96,RU,1692377929
119,constantia,44.1833,28.65,27.38,71,7,5.12,RO,1692377930
120,purificacion,3.8587,-74.9313,33.19,46,33,1.92,CO,1692377930
121,iqaluit,63.7506,-68.5145,5.85,100,100,11.83,CA,1692377930
122,kapa'a,22.0752,-159.319,26.18,83,75,5.66,US,1692377931
123,mount pearl,47.5166,-52.7813,22.75,68,75,4.12,CA,1692377931
124,conception bay south,47.4999,-52.9981,23.08,72,76,1.04,CA,1692377932
125,chibougamau,49.9168,-74.3659,17.79,94,100,5.14,CA,1692377932
126,ceelbuur,4.685,46.6176,26.55,59,59,10.63,SO,1692377933
127,selfoss,63.9331,-20.9971,17.25,81,100,4.79,IS,1692377933
128,wailua homesteads,22.0669,-159.378,25.44,83,75,5.66,US,1692377934
129,touros,-5.1989,-35.4608,28.24,67,21,7.54,BR,1692377934
130,hualien city,23.9769,121.6044,26.19,84,64,1.82,TW,1692377935
131,grand island,40.925,-98.342,24.97,47,0,8.75,US,1692377935
132,timbuktu,16.7735,-3.0074,37.76,29,100,4.47,ML,1692377936
133,kununurra,-15.7667,128.7333,27.99,34,30,4.63,AU,1692377936
134,badger,64.8,-147.5333,11.95,83,75,4.63,US,1692377936
135,prince george,53.9166,-122.753,11.83,79,100,6.17,CA,1692377891
